###regkeys.txt
#Format: Key,Category,Description
############# User Activity #######################
HKCU\Software\Microsoft\CurrentVersion\Applets\Paint\Recent File List,User Activity,Maintains a list of image files accessed with Paint
HKCU\Software\Microsoft\CurrentVersion\Applets\RegEdit,User Activity,The LastKey value maintains the last key accessed using RegEdit
HKCU\Software\Microsoft\CurrentVersion\Applets\RegEdit\Favorites,User Activity,Maintains a list of favorites added through Favorites menu item in RegEdit
HKCU\Software\Microsoft\CurrentVersion\Applets\WordPad\Recent File List,User Activity,List of files accessed/saved in WordPad
HKCU\Software\Microsoft\Search Assistant\ACMru,User Activity,Maintains a list of items searched for via Start->Search; the subkeys (5001, 5603, 5604, etc.) correspond to the textfields where the user enters search parameters.
HKCU\Software\Microsoft\Internet Explorer\TypedURLs,User Activity,Maintains a list of URLs typed into the IE Address bar
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,User Activity,RecentDocs
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\LastVisitedMRU,User Activity,Maintains a list of programs accessed, and their locations within the file system.  Sort via the MRUList.
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\ComDlg32\OpenSaveMRU,User Activity,Maintains a list of files that are opened or saved via Windows Explorer-style dialog boxes
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StreamMRU,User Activity,streamMRU
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU,User Activity,Maintains a list of entries typed into the Start->Run box
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Doc Find Spec MRU,User Activity,Do find
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FindComputerMRU,User Activity,Maintains a list of entries for computers searched for via Windows Explorer
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist,User Activity,There are two GUID subkeys beneath this key.  Beneath each of these keys is the Count subkey, which contains a list of ROT-13 'encrypted' values.  The CLSID beginning with 5E6 pertains to the IE Toolbar; the CLSID beginning with 750 corresponds to Active Desktop
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Map Network Drive MRU,User Activity,Maintains a list of drive mapped via the Map Network Drive Wizard.
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\ComputerDescriptions,User Activity,Values beneath this key are names or IP addresses of machines connected to.
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2,User Activity,Subkeys that start with # are paths to drives that have been mounted; includes the use of the net use command.  BaseClass value will usually be Drive.
HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\CPC\Volume,User Activity,Each GUID subkey includes a Data value.  This value is a volume identifier.
HKCU\Software\Microsoft\MediaPlayer\Player\RecentFileList,User Activity,List of files (movies - .mpg, etc.) accessed via Media Player
HKCU\Software\Microsoft\MediaPlayer\Player\RecentURLList,User Activity,recent url list
HKCU\Software\Microsoft\Office\{version}\Common\Open Find\{product}\Settings\Open\File Name MRU,User Activity,Value is Reg_Multi_SZ containing a list of file names
HKCU\Software\Microsoft\Office\{version}\Common\Open Find\{product}\Settings\Save As\File Name MRU,User Activity,Value is Reg_Multi_SZ containing a list of file names
HKCU\Software\Nico Mak Computing\WinZip\filemenu,User Activity,List of recently used WinZip archives
############# Launch Points #######################
HKCU\Control Panel\Desktop\SCRNSAVE.EXE,Launch Point,LaunchPoint
HKCU\Software\Microsoft\Command Processor\AutoRun,Launch Point,Launch Point
HKCU\Software\Microsoft\Internet Explorer\Explorer Bars,Launch Point,Launch Point
HKCU\Software\Microsoft\Internet Explorer\Extensions,Launch Point,Launch Point
HKCU\Software\Microsoft\Internet Explorer\Toolbar\ShellBrowser,Launch Point,All
HKCU\Software\Microsoft\Internet Explorer\Toolbar\WebBrowser,Launch Point,Launch Point
HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run,Launch Point,Launch Point W2K/WXP
HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System\Shell,Launch Point,Launch Point W2K/WXP
HKLM\Software\Microsoft\Windows\CurrentVersion\Run,Launch Point,Lists programs to be run when system starts.  On 2K and XP these entries are ignored when booted to Safe Mode; Andy Aronoff owner of SilentRunners.org says that the contents of any subkey will be launched.  At this point I haven't tested it.
HKCU\Software\Microsoft\Windows\CurrentVersion\Run,Launch Point,Auto Start
HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce,Launch Point,Lists programs to be run once when the system starts and deleted.  The commands listed here are deleted before the actual commands are run.  If the command is preceded by ! the command is deleted after the command is run.
HKCU\Software\Microsoft\Windows\CurrentVersion\ShellServiceObjectDelayLoad,Launch Point,Launch Point All
HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\load,Launch Point,Launch Point
HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\run,Launch Point,Launch Point NT4+
HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,Launch Point,Launch Point NT4+
HKCU\Software\Policies\Microsoft\Windows\System\Scripts,Launch Point,Launch Point W2K/WXP
HKLM\Software\Classes\ CLASSID Stopped by REAPOFF\{ CLASSID Stopped by REAPOFF}\Implemented Categories\{00021493-0000-0000-C000-000000000046},Launch Point,Launch Point
HKLM\Software\Classes\ CLASSID Stopped by REAPOFF\{ CLASSID Stopped by REAPOFF}\Implemented Categories\{00021494-0000-0000-C000-000000000046}\ 	All (1),Launch Point,Launch Point
HKLM\Software\Classes\.bat\shell\open\command,Launch Point,Launch Point All
HKLM\Software\Classes\.cmd\shell\open\command,Launch Point,Launch Point NT4+
HKLM\Software\Classes\.com\shell\open\command,Launch Point,Launch Point All
